x,y,ymin,ymax
2.621496598639456,1.4715454545454545,1.3057272727272728,1.6398181818181818
2.9115646258503403,1.3601363636363637,1.2045454545454546,1.5147727272727274
3.4285714285714284,1.7431818181818182,1.5693181818181818,1.9204545454545456
3.4489795918367347,1.3988636363636364,1.2522727272727274,1.5488636363636366
3.63265306122449,1.7760454545454547,1.6272727272727274,1.9272727272727277
3.88,1.9670909090909092,1.7999090909090911,2.135227272727273
3.993197278911565,1.5011363636363635,1.4806818181818184,1.5215909090909092
4.077006802721089,2.0101818181818185,1.835227272727273,2.185272727272728
4.328707482993197,1.312545454545455,1.1977272727272728,1.429545454545455
4.362721088435373,1.7010454545454547,1.558545454545455,1.8443636363636369
4.3763265306122445,1.492,1.358909090909091,1.6264545454545458
4.835918367346938,1.5866363636363638,1.441409090909091,1.7306363636363638
5.185578231292517,1.3740454545454546,1.2335909090909092,1.5157272727272728
5.39156462585034,1.825,1.6709090909090911,1.977727272727273
5.607619047619048,1.6465,1.5240454545454547,1.7704545454545455
5.995102040816327,1.5923636363636366,1.4588636363636367,1.7262727272727274
6.219591836734694,1.4866818181818182,1.3522272727272728,1.6231818181818185
6.437278911564626,1.5957727272727276,1.4437272727272727,1.745909090909091
6.516462585034014,2.008272727272728,1.8769545454545455,2.1389090909090918
6.539863945578231,1.7752272727272729,1.6197727272727276,1.933136363636364
6.682448979591837,1.792409090909091,1.652227272727273,1.9321818181818184
6.951836734693877,1.5014090909090911,1.490909090909091,1.5079545454545455
7.541768707482993,1.6432272727272728,1.5064545454545455,1.7842272727272728
8.076734693877551,1.9414545454545455,1.8018181818181824,2.079727272727273
