ct(kpc), d(cm2s-1)
0.01000000000000001, 1.3908706184906832e+29
0.012777037081692299, 1.6465478039617687e+29
0.015832756807569646, 1.9166075473551242e+29
0.0196192737428012, 2.085340604124805e+29
0.023577922901005712, 2.1387998315212126e+29
0.02833532248000513, 2.1208295244725647e+29
0.03511191734215135, 2.050445537951988e+29
0.04486262698899822, 1.9328474316646814e+29
0.0755177045312038, 1.8219938666716255e+29
0.11595822318999091, 1.7030675194550576e+29
0.18930490308031758, 1.6053923988725315e+29
0.26515713993686274, 1.5652656717020313e+29
0.5045247587076332, 1.5261419106814436e+29
0.9599787967603125, 1.5261419106814436e+29
2.002405854809104, 1.5390732841927474e+29
2.7201308780170756, 1.5390732841927474e+29
4.176789342540967, 1.5261419106814436e+29
7.2495395129965745, 1.5261419106814436e+29
15.592101610256787, 1.5261419106814436e+29
31.54215434590897, 1.552114228393198e+29
56.44987325758196, 1.5652656717020313e+29
104.16896741623357, 1.5919038087220516e+29
217.28453893733786, 1.5133191872406764e+29
323.57713624425526, 1.4879960467067492e+29
615.6827480708693, 1.4630966511777806e+29
916.8662502637519, 1.4508036372753e+29

