ct(kpc), d(cm2s-1)
0.01031107081167879, 1.5072582072414304e+29
0.015832756807569646, 2.4159606621801092e+29
0.024311363262457256, 3.775853678830888e+29
0.03733035193192503, 5.901201632594204e+29
0.0609427987081919, 9.379586379099642e+29
0.10906716216376536, 1.581392576783825e+30
0.1436904609313258, 1.968669716546608e+30
0.1780550615097649, 2.233867341552363e+30
0.22063820189426697, 2.3496933415445387e+30
0.2819102487240958, 2.3496933415445387e+30
0.31865881907970733, 2.1417192467517783e+30
0.3601977701656871, 1.919534654421376e+30
0.4198168512411063, 1.4536170791795274e+30
0.520219051327956, 9.068758060003147e+29
0.8492715254080729, 6.052256946007311e+29
1.6159418205212115, 4.0732950287516854e+29
3.1703604929246136, 3.1107054852963533e+29
5.336699231206307, 2.67299085655445e+29
9.848001709217325, 2.3358986038678128e+29
16.077126380624854, 2.2207526029452124e+29
30.590570971719927, 2.1112826195973785e+29
67.83996068800346, 2.0760051989259394e+29
117.74797224238766, 2.0072088596912206e+29
238.19910921719693, 1.97367040744352e+29
496.85606860952316, 2.0072088596912206e+29
916.8662502637519, 2.0072088596912206e+29
