ct(kpc), d(cm2s-1)
0.01000000000000001, 2.9899630710063375e+28
0.015832756807569646, 3.7221938675430603e+28
0.024311363262457256, 4.672949869572891e+28
0.03733035193192503, 5.484177614890226e+28
0.0628385512942053, 6.328692079182928e+28
0.11245992322994366, 6.490690028928646e+28
0.1780550615097649, 5.768532171028704e+28
0.3387922609448773, 5.126722006425246e+28
0.6853622464141164, 4.5948695515731226e+28
1.4740574579619958, 4.083641756391934e+28
3.2689811541094485, 3.8174722864570527e+28
7.947338833568149, 3.629293455967345e+28
24.68659529141104, 3.509022994261251e+28
60.016478584276, 3.509022994261251e+28
155.12698844986198, 3.42144300998421e+28
453.2306696730666, 3.509022994261251e+28
974.7955220822228, 3.4795833674500845e+28
