ct(kpc), d(cm2s-1)
0.01031107081167879, 1.5390732841927474e+29
0.014006881788178702, 2.067819464275789e+29
0.0190273872628045, 2.596874094119585e+29
0.02833532248000513, 3.670206471849509e+29
0.03511191734215135, 4.57050713344553e+29
0.04219657112962679, 5.788513448491007e+29
0.05228818266215814, 6.405302035519769e+29
0.0628385512942053, 7.519047766850201e+29
0.08278660799997291, 8.390730861480537e+29
0.11595822318999091, 8.53352670912939e+29
0.13935551753613756, 8.320231505850736e+29
0.17268338542306558, 7.39322771190962e+29
0.1835938347605006, 6.681308359984752e+29
0.20126553003539893, 5.4565279325815915e+29
0.23457852347050023, 4.2721780730404606e+29
0.3090453211889302, 3.608791038107049e+29
0.46022602661498596, 3.2889218152290776e+29
0.7747030307432394, 2.947247461323005e+29
1.2265684683844855, 2.7317262584493794e+29
2.4064382545523593, 2.6634468556352716e+29
7.707578561643325, 2.6634468556352716e+29
15.121709369502632, 2.6634468556352716e+29
23.94183469620821, 2.596874094119585e+29
35.65384976455488, 2.5750550233724094e+29
53.09522094540109, 2.5750550233724094e+29
92.15592902293764, 2.618878043187398e+29
186.4275009098182, 2.618878043187398e+29
333.642676485475, 2.596874094119585e+29
453.2306696730666, 2.5750550233724094e+29
1005.118565509719, 2.6410684370950572e+29
