energy,Flux,Type,Label
0.8117134407406489,8.819064830930249e-15,0,Data
0.8117134407406489,1.097723490117117e-14,0,Upper
0.8117134407406489,6.506992133316191e-15,0,Lower
0.8873858040403748,3.585729009585766e-15,1,Data
0.8873858040403748,5.164498659255309e-15,1,Upper
0.8873858040403748,1.975944071663148e-15,1,Lower
0.9701127586280567,1.0081406503468114e-14,2,Data
0.9701127586280567,1.1665447633361125e-14,2,Upper
0.9701127586280567,8.198462119291966e-15,2,Lower
1.058542609550466,1.1808183638486988e-14,3,Data
1.058542609550466,1.3335214321633295e-14,3,Upper
1.058542609550466,1.020476050886776e-14,3,Lower
1.1550332126530842,7.809183604526565e-15,4,Data
1.1550332126530842,9.03620168143883e-15,4,Upper
1.1550332126530842,6.506992133316191e-15,4,Lower
1.2603193393398315,1.1808183638486988e-14,5,Data
1.2603193393398315,1.3335214321633295e-14,5,Upper
1.2603193393398315,1.020476050886776e-14,5,Lower
1.3752027385130001,1.0713455683114403e-14,6,Data
1.3752027385130001,1.2098916483141398e-14,6,Upper
1.3752027385130001,9.486645587973715e-15,6,Lower
1.5034066538560547,1.1808183638486988e-14,7,Data
1.5005582418534305,1.3498381246691849e-14,7,Upper
1.5005582418534305,1.0456014989877827e-14,7,Lower
1.6404484823382022,1.1524437005125018e-14,8,Data
1.6404484823382022,1.2857452530184814e-14,8,Upper
1.6404484823382022,1.0081406503468114e-14,8,Lower
1.7899822488502637,1.254849232252333e-14,9,Data
1.7865908797160166,1.4344656098379345e-14,9,Upper
1.7899822488502637,1.1247508706776222e-14,9,Lower
1.9568541770906833,1.0583952627257739e-14,10,Data
1.9568541770906833,1.2246956323482911e-14,10,Upper
1.9568541770906833,9.486645587973715e-15,10,Lower
2.1352296510940802,1.383072895555449e-14,11,Data
2.1352296510940802,1.5810429281709246e-14,11,Upper
2.1352296510940802,1.2098916483141398e-14,11,Lower
2.3342874290933047,1.0844543311584566e-14,12,Data
2.3342874290933047,1.2396807548699941e-14,12,Upper
2.3342874290933047,9.371972075541341e-15,12,Lower
2.547067528652759,1.1247508706776222e-14,13,Data
2.547067528652759,1.2857452530184814e-14,13,Upper
2.547067528652759,9.959543587509998e-15,13,Lower
2.7792434276344458,1.1247508706776222e-14,14,Data
2.7792434276344458,1.2702033079874745e-14,14,Upper
2.7792434276344458,9.839153736870806e-15,14,Lower
3.038339689687751,7.259646821028461e-15,15,Data
3.038339689687751,8.50310348895986e-15,15,Upper
3.038339689687751,6.12310675016111e-15,15,Lower
3.31529710873118,8.926973084644665e-15,16,Data
3.31529710873118,1.0081406503468114e-14,16,Upper
3.31529710873118,7.714787065217042e-15,16,Lower
3.6243672246941783,1.0329623848370985e-14,17,Data
3.6243672246941783,1.1808183638486988e-14,17,Upper
3.6243672246941783,9.03620168143883e-15,17,Lower
3.9547435139628924,8.607145705026644e-15,18,Data
3.9547435139628924,9.839153736870806e-15,18,Upper
3.9547435139628924,7.529403358130634e-15,18,Lower
4.323426318663982,7.085199979081536e-15,19,Data
4.323426318663982,8.001455865297698e-15,19,Upper
4.323426318663982,5.832370040425776e-15,19,Lower
4.717524779315255,8.40031892358186e-15,20,Data
4.717524779315255,9.720219145301387e-15,20,Upper
4.717524779315255,7.085199979081536e-15,20,Lower
5.147546969259014,5.356402936217366e-15,21,Data
5.147546969259014,6.748781259992436e-15,21,Upper
5.147546969259014,3.904354974340723e-15,21,Lower
5.627429431233214,6.2738656050449985e-15,22,Data
5.627429431233214,8.099360024769205e-15,22,Upper
5.627429431233214,4.517826801206417e-15,22,Lower
6.1403932503918135,7.809183604526565e-15,23,Data
6.1403932503918135,1.020476050886776e-14,23,Upper
6.1403932503918135,5.291655335708498e-15,23,Lower
6.700115875321543,8.537643732613825e-16,24,Data
6.712834269013924,4.463215815368345e-15,24,Upper
6.712834269013924,1.0163475708816834e-16,24,Lower
