Energy,Flux,Index,Type
14.059548051612854,2.3187195671735757e-13,0,Data
14.214926880059474,1.267175826506965e-13,0,Upper
14.214926880059474,1.267175826506965e-13,0,Lower
22.063551343669232,2.752430185576628e-13,1,Data
22.18513380954904,3.6331530050798166e-13,1,Upper
22.18513380954904,1.8752088560690917e-13,1,Lower
35.19973382927926,1.7141252532913212e-13,2,Data
35.393703982615655,2.1369149333415731e-13,2,Upper
35.393703982615655,1.298599338486865e-13,2,Lower
50.03616425807603,1.7566322474314606e-13,3,Data
50.03616425807603,2.0182015668528762e-13,3,Upper
50.03616425807603,1.5041978532843015e-13,3,Lower
78.95410260037842,1.341712835479917e-13,4,Data
78.95410260037842,1.566879003616859e-13,4,Upper
78.95410260037842,1.1678199404393477e-13,4,Lower
125.27142816090235,1.3638034132877562e-13,5,Data
125.27142816090235,1.516530202126301e-13,5,Upper
125.96174355495857,1.1870474655681413e-13,5,Lower
199.85544752035906,9.066649113412846e-14,6,Data
199.85544752035906,1.067502238337608e-13,6,Upper
198.76016820684964,7.763738911669808e-14,6,Lower
317.09786460788223,6.278737700530933e-14,7,Data
315.3600549270746,7.82739086833752e-14,7,Upper
315.3600549270746,4.9146134141822145e-14,7,Lower
443.38198458064716,3.878398965145679e-14,8,Data
443.38198458064716,5.64641831406759e-14,8,Upper
443.38198458064716,2.536619455757807e-14,8,Lower
703.4858557048132,1.7281787174259185e-14,9,Data
703.4858557048132,3.321059035596357e-14,9,Upper
703.4858557048132,6.7025665492514146e-15,9,Lower
1128.5114415598182,1.479833198237533e-14,10,Data
1128.5114415598182,7.956264635090662e-15,10,Upper
1128.5114415598182,7.956264635090662e-15,10,Lower
