Energy,Flux,FluxErr,Uplims
25.83,9.119999999999999e-11,1.824e-11,True
45.93,8.32e-12,1.6640000000000002e-12,True
81.68,2.3599999999999996e-12,4.719999999999999e-13,True
145.25,6.57e-13,1.314e-13,True
258.3,3.5e-13,7e-14,True
459.34,1.94e-13,3.88e-14,True
816.84,3.3e-13,6.600000000000001e-14,True
1452.58,1.06e-13,2.12e-14,True
